"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj";"Dispersion";"FC/FCshrink"
"clong_scaffold_6_001566";11729,3939173444;3,11135156109219;0,271717114148442;1,2665894930758e-31;2,94672045564085e-27;0,0523151588840837;1,01462334350722
"clong_scaffold_5_002087";2380,47919742698;1,62498541807966;0,190619452800429;9,94585860512879e-19;1,15695200224161e-14;0,0250819228887259;1,02521445585072
"clong_contig_2281r_pilon_000002";218,279553991097;12,8842436824009;2,73482042274328;7,73298224861156e-18;5,99692773379826e-14;0,448932158599427;0,947029988103837
"clong_scaffold_4_000491";42393,1410276346;1,87742255333911;0,238683298011344;2,20343686734664e-16;1,02525917437639e-12;0,0399206754600998;1,02959072900264
"clong_scaffold_6_002070";147,927750083034;12,158832745955;2,70755295346089;4,87339797598734e-16;1,88966006518909e-12;0,455650277209638;0,94882316789496
"g27589";16947,7467765009;1,80580267028612;0,236688191579674;1,3556297372784e-15;4,50553226254028e-12;0,0391361343453727;1,03181016514048
"clong_scaffold_4_000909";561,121567171439;2,75080914045137;0,364055818169747;2,14385348073208e-15;6,23459390365399e-12;0,0896733483143144;1,0332204309496
"g5817";149,405219197608;12,2922781215685;2,76846798449621;2,85372574715268e-15;7,37688105638968e-12;0,570413812339805;0,948641531587537
"clong_contig_5852r_pilon_000002";142,898522911955;11,9369965722286;2,75680648583444;6,65515745113185e-14;1,54832238100582e-10;0,666744144417987;0,955116497022403
"clong_scaffold_9_001707";2059,80435493402;2,66675420538165;0,379519600582176;1,09059906199816e-13;2,30661701612611e-10;0,0992489323640554;1,03775818102821
"g451";180,127098023799;10,531575791844;1,57929437386787;2,01736007974147e-13;3,91115685459878e-10;0,614557116167139;1,04450613212406
"g36950";113,7156473331;8,89205222207937;1,30018116136439;4,88800706034554e-12;5,98523601362837e-09;0,539252593279432;1,05101396920206
"clong_scaffold_7_001151";628,128489840237;2,15331355255936;0,340363840037783;1,32437654175354e-11;1,4672200116141e-08;0,0779278441065735;1,04624755515749
"clong_scaffold_11_000432";445,136574630069;2,72788121196783;0,437635313332993;2,26167808259298e-11;2,39172457234208e-08;0,1280538138702;1,04786146783412
"g180";5969,59789022712;1,80946200232102;0,293507406260651;4,07878484274895e-11;4,12577953767627e-08;0,0591854152491805;1,04729760192826
"clong_scaffold_4_002248";149,82793672769;2,46248960530097;0,40077969571911;4,55436955185166e-11;4,25217325725136e-08;0,101988151200342;1,04866466272074
"clong_scaffold_7_001064";6124,85263863597;1,49435689237012;0,243220677859853;4,56928138539798e-11;4,25217325725136e-08;0,0407055260214568;1,04921422746383
"clong_scaffold_5_000844";3840,86366996528;3,16513509633568;0,531843898025979;1,37776114399147e-10;1,10529700051591e-07;0,193000064005472;1,05075864753707
"clong_contig_12288r_pilon_000003";1201,39588595318;1,62340594217217;0,281185379835743;4,68749307761445e-10;3,02929240140834e-07;0,0533528807451364;1,05322550441898
"clong_scaffold_6_002800";444,975973013738;5,71925610764662;1,01949778008534;6,98375934395969e-10;4,39127462533033e-07;0,676454336427058;1,06158618502154
"g21452";7619,5299194162;3,39916939432392;0,601523081701966;7,34414454641135e-10;4,39911005778285e-07;0,245241202088588;1,05746052766023
"g37237";61,0268453058247;2,73721702777227;0,482044222357128;7,56348172410549e-10;4,39911005778285e-07;0,129558744588412;1,05757625981892
"clong_scaffold_8_000923";80,6624066947284;4,30060726018034;0,787820006420865;2,0598211418651e-09;1,08913042876117e-06;0,376393085888082;1,06299940239115
"clong_Scaffold7_RagTag_0001_000003";1458,93444113652;1,29629069615205;0,23446475240353;2,21989128383503e-09;1,14768379374271e-06;0,0369762896023004;1,056340430927
"clong_scaffold_5_000961";3276,15662485601;1,16315202211188;0,210241382208899;2,40385167594447e-09;1,21577411393148e-06;0,03020313346744;1,05525140642521
"clong_scaffold_1_001834";584,420965964745;1,58194936389263;0,297242273778693;8,60070982226656e-09;3,84799065413522e-06;0,0583612287392411;1,05228262538827
"clong_scaffold_3_002084";479,419081723251;1,74454900993659;0,332578351873989;9,87056115837704e-09;4,17524736999349e-06;0,0726426536878447;1,06101749636465
"clong_contig_14080r_pilon_000004";10825,4320395531;1,33344917178024;0,258876892451055;1,7029510875559e-08;6,78755977082987e-06;0,0455803726857642;1,06481598296408
"clong_contig_13385r_pilon_000004";3721,83634807603;1,57112077919148;0,308620054691803;2,09622449394245e-08;8,12811047526184e-06;0,0642461539310533;1,06745875421186
"clong_scaffold_1_002185";585,691809816708;1,56163255263842;0,303341758487665;2,5364711969212e-08;9,52692593378481e-06;0,0606857245607883;1,0511843057328
"clong_scaffold_9_000933";726,211962187068;4,15192945356902;0,83555705392683;2,57982520450652e-08;9,52692593378481e-06;0,457422516691084;1,07472331062367
"clong_scaffold_6_000300";1302,29631873831;3,26092999155869;0,656394041388918;2,84764895120852e-08;1,03516488827916e-05;0,285107565698764;1,07414553787312
"clong_scaffold_4_002730";868,59442450915;1,65280715057175;0,330570316152664;3,32808400589914e-08;1,17314961207945e-05;0,0725153995683246;1,06883467292835
"clong_scaffold_1_001044";2374,46805082421;3,31163655914167;0,671105462041114;3,46866305089517e-08;1,20445441610561e-05;0,298872100651763;1,07408130187461
"clong_scaffold_4_000969";772,355711324687;2,33983640481082;0,473678915175894;3,62112447590771e-08;1,20612772380122e-05;0,147622619706261;1,07389141542178
"g30931";158,522868580682;3,37273990058796;0,684640341560017;3,53285767031647e-08;1,20612772380122e-05;0,282289386413931;1,07560920972808
"clong_scaffold_8_002201";1148,78303514787;4,12343511794583;0,845467244260924;3,90422330457265e-08;1,26155215529004e-05;0,468985644619843;1,07821501336893
"merge_omniscients-gene-1926";41,3486413789423;6,31375080243028;1,25183023610074;4,220383600186e-08;1,34503047203188e-05;0,606755106020647;1,08070788179509
"clong_scaffold_3_000836";267,248435654422;2,75457786992834;0,5639919971763;4,72347149648106e-08;1,4850211400761e-05;0,206446271245996;1,07606316835733
"clong_scaffold_8_000934";2688,28985343818;3,75092962178957;0,775003458094782;5,0949264926699e-08;1,55965085331533e-05;0,397711403760596;1,080391240709
"clong_scaffold_6_001250";4482,24193588413;1,46634938126188;0,298492605640674;5,47901803103792e-08;1,63422249348842e-05;0,0600029870785257;1,07157075359734
"clong_scaffold_4_002351";2384,92498733324;1,10925893925017;0,226019152707897;7,12875287705135e-08;2,02256628883658e-05;0,0345082015038698;1,06890737728356
"clong_scaffold_6_000729";14304,6212679278;1,66344441586676;0,344886922740055;7,91075383769895e-08;2,19099628611983e-05;0,0798547858964706;1,07490099814846
"clong_scaffold_7_002587";459,79926898722;1,6449019809224;0,344523400369753;1,02436811931992e-07;2,647991588442e-05;0,0771470520778876;1,07646323631561
"clong_scaffold_6_000908";280,038954842888;2,167322448479;0,463846177942925;1,37763554322454e-07;3,40964796948074e-05;0,138380451726494;1,08159307928576
"clong_scaffold_5_002644";2082,60515728538;1,77196662464079;0,378825631042951;1,5455162080767e-07;3,69588401840207e-05;0,0952968680119654;1,07984390703827
"g21411";5038,34338245036;4,29825625053198;0,946827547367904;1,90991183693337e-07;4,39941573131235e-05;0,580932984316371;1,08851977103385
"clong_scaffold_5_002779";735,956421793035;5,29247563968828;1,1772848568654;2,19479792194956e-07;4,93998732770563e-05;0,883187693219932;1,08973271524265
"clong_scaffold_9_000713";2041,669228884;1,42475444529448;0,308683116477353;2,2082900583769e-07;4,93998732770563e-05;0,0632608609091082;1,08155074330789
"merge_omniscients-gene-1840";2561,86722738664;2,02254983194457;0,442629866725543;2,41838304352206e-07;5,19646511474514e-05;0,129377096408565;1,08406731062127
"clong_scaffold_7_002464";200,672804559573;2,9252146512729;0,646870877282867;2,48731576452053e-07;5,26067284196091e-05;0,265587746091744;1,08768850745573
"clong_scaffold_1_000845";2651,43686092972;1,33628196797163;0,289392667143269;3,18927641611499e-07;6,68455097485723e-05;0,0560038337817234;1,07040971217079
"clong_scaffold_4_002746";1512,11325062689;3,08850258050506;0,693805702182536;3,47676687022548e-07;7,2220518960532e-05;0,313412999821974;1,08999482100118
"clong_scaffold_7_002521";5975,03365269391;1,163500409902;0,257494408786387;4,38221069519243e-07;8,74362027714324e-05;0,0445599639502506;1,08157483959878
"clong_scaffold_7_001901";255,144535478229;1,73867162243835;0,39283441358665;4,98690671437954e-07;9,72343792332115e-05;0,0984077221205161;1,0880883499016
"clong_scaffold_4_000972";1613,43854857739;2,25022048962924;0,514805734620555;5,59109130895708e-07;0,000107501437440402;0,173493718320284;1,09376329581412
"clong_scaffold_5_002778";1281,14451646481;5,22282097215509;1,22093312457943;5,79425029234055e-07;0,00011049445332074;0,943189749961277;1,09780643948199
"clong_scaffold_4_003560";27739,2983583649;1,22158113721121;0,274982507904478;6,11940992198168e-07;0,00011481296115718;0,0507601987144838;1,08393762194709
"clong_scaffold_10_001077";17580,8345181272;1,4826014474007;0,336461341929834;6,17226986613475e-07;0,0001148782867485;0,0752858044245258;1,08731333241826
"clong_scaffold_7_001014";11154,4601117327;1,29696284707588;0,297134548348224;8,2114746259925e-07;0,00014695381321055;0,0588989501170034;1,08763400548161
"g10118";1065,55467540938;3,07067053022987;0,727707816569098;9,82610705810344e-07;0,000169559652491013;0,340878500202942;1,09899031656281
"clong_scaffold_10_001608";66,6399499065525;2,8328935799779;0,669804106403513;9,69137649191673e-07;0,000169559652491013;0,265141614135166;1,09983669708387
"clong_scaffold_6_001418";312,160364476233;1,868670284995;0,441361929270433;1,12904051242608e-06;0,000187622339439947;0,123939001343224;1,09641101090969
"clong_scaffold_6_001596";4657,48136713745;1,35913355787759;0,317482711072495;1,14082940034521e-06;0,00018823685105696;0,0667537199158908;1,09157153438488
"clong_scaffold_7_002443";523,613325991977;2,73468903551134;0,652430570458448;1,16948308011912e-06;0,000190265901111687;0,272539855335578;1,09897402676817
"clong_scaffold_4_001417";3253,23558578823;1,20111341982472;0,282822394164393;1,44437780744123e-06;0,000230160614315892;0,0530971507355716;1,09242544221737
"clong_scaffold_5_002443";1182,58505175768;1,7617504214598;0,421820713089727;1,45787468405911e-06;0,000230730983160783;0,116112990878488;1,10184959810468
"clong_scaffold_6_002175";3547,78472308841;1,35120068020926;0,320059119772614;1,48121716959176e-06;0,000232841334125354;0,0675876135915161;1,09400898499626
